,S1-value2,S1-value3,S1-value4,S2-value2,S2-value3,S2-value4,S3-value2,S3-value3,S3-value4,S0-value2,S0-value3,S0-value4,Y
379,22882.0,40981.0,29476.0,26445.0,40982.0,27610.0,4106.0,40982.0,38890.0,3000.0,21.0,39400.0,1
380,23079.0,40980.0,29375.0,25921.0,40986.0,27874.0,3884.0,40978.0,38998.0,3708.0,15.0,39080.0,1
381,23181.0,40981.0,29325.0,25965.0,40982.0,27850.0,3904.0,40979.0,38989.0,3750.0,15.0,39059.0,1
382,23251.0,40979.0,29291.0,25870.0,40985.0,27900.0,3860.0,40980.0,39011.0,3782.0,13.0,39042.0,1
383,22796.0,40983.0,29518.0,26034.0,40984.0,27817.0,3942.0,40978.0,38971.0,3798.0,13.0,39035.0,1
384,22835.0,40983.0,29499.0,26365.0,40984.0,27652.0,4112.0,40977.0,38887.0,3699.0,12.0,39082.0,1
385,22747.0,40980.0,29542.0,26545.0,40982.0,27559.0,4209.0,40978.0,38836.0,3706.0,16.0,39079.0,1
386,22890.0,40982.0,29470.0,26538.0,40985.0,27559.0,4216.0,40978.0,38833.0,3688.0,12.0,39088.0,1
387,23183.0,40980.0,29323.0,26468.0,40983.0,27599.0,4182.0,40977.0,38851.0,3716.0,15.0,39074.0,1
388,23332.0,40979.0,29250.0,26946.0,40983.0,27359.0,4403.0,40979.0,38740.0,3788.0,15.0,39038.0,1
389,23332.0,40980.0,29249.0,27204.0,40986.0,27228.0,4510.0,40979.0,38687.0,3820.0,16.0,39024.0,1
390,23261.0,40983.0,29285.0,27245.0,40983.0,27208.0,4530.0,40979.0,38675.0,3825.0,15.0,39021.0,1
391,23666.0,40981.0,29081.0,27305.0,40978.0,27175.0,4559.0,40979.0,38662.0,3805.0,13.0,39030.0,1
392,23882.0,40980.0,28974.0,27451.0,40982.0,27104.0,4634.0,40978.0,38626.0,3897.0,13.0,38981.0,1
393,23920.0,40982.0,28953.0,27435.0,40984.0,27112.0,4619.0,40978.0,38630.0,3941.0,14.0,38960.0,1
394,23975.0,40981.0,28927.0,27549.0,40984.0,27053.0,4675.0,40978.0,38605.0,3949.0,15.0,38958.0,1
395,24100.0,40979.0,28864.0,27577.0,40985.0,27039.0,4697.0,40981.0,38592.0,3962.0,14.0,38950.0,1
396,24077.0,40979.0,28875.0,27587.0,40981.0,27035.0,4712.0,40979.0,38585.0,3989.0,16.0,38937.0,1
397,24172.0,40981.0,28827.0,27694.0,40985.0,26979.0,4768.0,40976.0,38556.0,3984.0,14.0,38940.0,1
398,24196.0,40984.0,28815.0,27847.0,40981.0,26904.0,4843.0,40980.0,38517.0,4000.0,14.0,38930.0,1
399,24200.0,40985.0,28816.0,27901.0,40983.0,26875.0,4874.0,40978.0,38505.0,4014.0,16.0,38926.0,1
400,24293.0,40983.0,28766.0,27903.0,40984.0,26874.0,4874.0,40977.0,38505.0,4012.0,15.0,38926.0,1
401,24422.0,40981.0,28702.0,28018.0,40984.0,26817.0,4932.0,40978.0,38476.0,4037.0,16.0,38914.0,1
402,24474.0,40982.0,28674.0,28076.0,40982.0,26789.0,4956.0,40981.0,38462.0,4062.0,13.0,38899.0,1
403,24469.0,40981.0,28679.0,27854.0,40982.0,26902.0,4868.0,40980.0,38507.0,4081.0,16.0,38891.0,1
404,24560.0,40978.0,28632.0,27729.0,40983.0,26962.0,4831.0,40978.0,38526.0,4081.0,18.0,38889.0,1
405,15669.0,40983.0,33069.0,16254.0,40980.0,32750.0,9174.0,40979.0,36361.0,4669.0,25.0,38533.0,0
406,16050.0,40977.0,32900.0,16333.0,40981.0,32718.0,9039.0,40979.0,36419.0,5677.0,12.0,38089.0,0
407,16049.0,40978.0,32898.0,16338.0,40981.0,32714.0,9037.0,40978.0,36420.0,5681.0,16.0,38087.0,0
408,16040.0,40977.0,32905.0,16335.0,40978.0,32717.0,9041.0,40981.0,36419.0,5677.0,17.0,38090.0,0
409,16045.0,40980.0,32901.0,16332.0,40980.0,32716.0,9041.0,40981.0,36419.0,5676.0,12.0,38087.0,0
410,16043.0,40982.0,32904.0,16333.0,40979.0,32721.0,9041.0,40979.0,36416.0,5678.0,12.0,38086.0,0
411,16043.0,40981.0,32904.0,16336.0,40979.0,32715.0,9045.0,40982.0,36415.0,5677.0,14.0,38084.0,0
412,16041.0,40978.0,32905.0,16332.0,40979.0,32716.0,9046.0,40983.0,36414.0,5674.0,14.0,38091.0,0
413,16038.0,40982.0,32903.0,16330.0,40979.0,32718.0,9044.0,40979.0,36414.0,5675.0,15.0,38091.0,0
414,16040.0,40982.0,32904.0,16332.0,40980.0,32717.0,9045.0,40978.0,36417.0,5674.0,13.0,38090.0,0
415,16036.0,40980.0,32906.0,16336.0,40980.0,32715.0,9050.0,40978.0,36414.0,5674.0,15.0,38090.0,0
416,16036.0,40977.0,32904.0,16331.0,40982.0,32716.0,9047.0,40978.0,36416.0,5676.0,15.0,38087.0,0
417,16036.0,40980.0,32907.0,16330.0,40978.0,32717.0,9051.0,40982.0,36413.0,5672.0,14.0,38089.0,0
418,16033.0,40977.0,32907.0,16333.0,40980.0,32717.0,9047.0,40980.0,36414.0,5674.0,17.0,38089.0,0
419,16035.0,40980.0,32907.0,16333.0,40981.0,32715.0,9048.0,40982.0,36417.0,5673.0,16.0,38089.0,0
420,16038.0,40982.0,32906.0,16335.0,40977.0,32715.0,9050.0,40981.0,36412.0,5679.0,17.0,38087.0,0
421,16032.0,40977.0,32909.0,16333.0,40979.0,32716.0,9052.0,40980.0,36414.0,5674.0,17.0,38086.0,0
422,16026.0,40979.0,32910.0,16334.0,40979.0,32716.0,9052.0,40980.0,36411.0,5676.0,13.0,38086.0,0
423,16031.0,40980.0,32908.0,16327.0,40981.0,32718.0,9049.0,40978.0,36416.0,5673.0,15.0,38092.0,0
424,16034.0,40979.0,32906.0,16334.0,40981.0,32718.0,9054.0,40978.0,36410.0,5677.0,16.0,38086.0,0
425,16032.0,40977.0,32905.0,16329.0,40982.0,32722.0,9051.0,40977.0,36415.0,5676.0,14.0,38088.0,0
426,16032.0,40977.0,32910.0,16330.0,40980.0,32718.0,9050.0,40979.0,36415.0,5679.0,13.0,38084.0,0
427,16032.0,40981.0,32909.0,16328.0,40978.0,32719.0,9054.0,40978.0,36413.0,5675.0,11.0,38088.0,0
428,16030.0,40980.0,32907.0,16331.0,40980.0,32718.0,9054.0,40977.0,36411.0,5671.0,13.0,38090.0,0
429,16034.0,40979.0,32908.0,16327.0,40979.0,32719.0,9051.0,40979.0,36416.0,5676.0,12.0,38089.0,0
430,16030.0,40978.0,32911.0,16334.0,40978.0,32717.0,9056.0,40981.0,36412.0,5675.0,14.0,38089.0,0
431,16033.0,40977.0,32910.0,16332.0,40983.0,32718.0,9057.0,40975.0,36410.0,5672.0,16.0,38090.0,0
432,16029.0,40979.0,32908.0,16333.0,40978.0,32715.0,9059.0,40978.0,36409.0,5674.0,18.0,38090.0,0
433,16031.0,40979.0,32908.0,16336.0,40980.0,32715.0,9055.0,40978.0,36409.0,5678.0,16.0,38087.0,0
434,16028.0,40979.0,32907.0,16333.0,40980.0,32714.0,9051.0,40979.0,36414.0,5677.0,13.0,38087.0,0
435,16029.0,40978.0,32908.0,16332.0,40980.0,32715.0,9059.0,40978.0,36409.0,5675.0,13.0,38089.0,0
436,16032.0,40978.0,32910.0,16333.0,40979.0,32717.0,9056.0,40980.0,36410.0,5679.0,14.0,38087.0,0
437,16031.0,40983.0,32910.0,16334.0,40979.0,32718.0,9059.0,40978.0,36408.0,5676.0,18.0,38086.0,0
438,16033.0,40981.0,32906.0,16337.0,40978.0,32715.0,9057.0,40978.0,36409.0,5675.0,13.0,38089.0,0
439,25360.0,40981.0,28231.0,26897.0,40982.0,27385.0,10573.0,40982.0,35653.0,5678.0,14.0,38087.0,0
440,25061.0,40982.0,28383.0,26552.0,40981.0,27561.0,10399.0,40980.0,35741.0,9350.0,14.0,36239.0,0
441,24031.0,40981.0,28901.0,25391.0,40983.0,28147.0,9927.0,40978.0,35978.0,9278.0,14.0,36274.0,0
442,21445.0,40980.0,30196.0,22477.0,40983.0,29617.0,8738.0,40980.0,36567.0,8949.0,13.0,36441.0,0
443,20751.0,40981.0,30542.0,21730.0,40983.0,29995.0,8468.0,40979.0,36707.0,8103.0,12.0,36867.0,0
444,21217.0,40979.0,30311.0,22250.0,40978.0,29733.0,8664.0,40979.0,36607.0,7842.0,16.0,36999.0,0
445,21925.0,40980.0,29951.0,23040.0,40981.0,29332.0,8982.0,40978.0,36447.0,8009.0,14.0,36910.0,0
446,21966.0,40981.0,29933.0,23087.0,40984.0,29310.0,8991.0,40978.0,36447.0,8256.0,14.0,36789.0,0
447,21720.0,40980.0,30057.0,22808.0,40980.0,29451.0,8879.0,40977.0,36498.0,8262.0,11.0,36788.0,0
448,21784.0,40982.0,30021.0,22895.0,40978.0,29404.0,8917.0,40980.0,36482.0,8184.0,12.0,36826.0,0
449,21996.0,40983.0,29920.0,23130.0,40982.0,29286.0,8999.0,40977.0,36439.0,8200.0,15.0,36818.0,0
450,22340.0,40979.0,29746.0,23514.0,40983.0,29094.0,9151.0,40978.0,36361.0,8283.0,14.0,36774.0,0
451,23067.0,40981.0,29378.0,24345.0,40984.0,28671.0,9490.0,40978.0,36192.0,8401.0,12.0,36716.0,0
452,21820.0,40978.0,30005.0,22916.0,40982.0,29396.0,8877.0,40977.0,36499.0,8631.0,12.0,36601.0,0
453,20633.0,40977.0,30604.0,21605.0,40983.0,30058.0,8382.0,40977.0,36750.0,8236.0,15.0,36798.0,0
454,25013.0,40980.0,28408.0,26491.0,40983.0,27592.0,10290.0,40982.0,35794.0,7790.0,14.0,37022.0,0
455,20422.0,40983.0,30705.0,21375.0,40980.0,30173.0,8292.0,40982.0,36792.0,9278.0,13.0,36271.0,0
456,25238.0,40979.0,28292.0,26763.0,40984.0,27453.0,10431.0,40981.0,35724.0,7717.0,14.0,37063.0,0
457,20574.0,40980.0,30632.0,21519.0,40980.0,30098.0,8297.0,40980.0,36788.0,9336.0,16.0,36248.0,0
458,22633.0,40983.0,29600.0,23846.0,40985.0,28926.0,9243.0,40980.0,36319.0,7791.0,14.0,37021.0,0
459,20747.0,40981.0,30545.0,21742.0,40981.0,29987.0,8427.0,40980.0,36726.0,8500.0,16.0,36666.0,0
460,21273.0,40978.0,30280.0,22320.0,40980.0,29698.0,8613.0,40976.0,36630.0,7825.0,17.0,37004.0,0
461,22702.0,40980.0,29565.0,23955.0,40981.0,28870.0,9324.0,40976.0,36279.0,8031.0,14.0,36901.0,0
462,21833.0,40981.0,30000.0,22986.0,40980.0,29361.0,8953.0,40979.0,36462.0,8488.0,15.0,36671.0,0
463,23877.0,40978.0,28975.0,25249.0,40978.0,28220.0,9875.0,40981.0,36000.0,8159.0,16.0,36838.0,0
464,10947.0,40981.0,35389.0,7478.0,40981.0,37127.0,2341.0,40979.0,39780.0,8852.0,15.0,36489.0,0
465,11283.0,40982.0,35338.0,7574.0,40980.0,37173.0,2308.0,40978.0,39787.0,1458.0,23.0,40116.0,0
