S0,S1,S2,S3,Y
240057,124778,327660,32383,0
239908,124865,327660,32382,0
240116,124802,327660,32394,0
239926,124882,327660,32378,0
240105,124808,327660,32395,0
240041,124886,327660,32400,0
240026,124843,327660,32395,0
239897,124850,327660,32368,0
240050,124795,327660,32392,0
239994,124842,327660,32381,0
239936,124831,327660,32365,0
239986,124814,327660,32386,0
240026,124830,327660,32385,0
239992,124840,327660,32380,0
240015,124827,327660,32371,0
240018,124850,327660,32383,0
239961,124844,327660,32369,0
239563,124809,327660,32344,0
240112,124636,327660,32387,0
239954,124872,327660,32371,0
240031,124817,327660,32377,0
240029,124842,327660,32389,0
240014,124852,327660,32382,0
239952,124841,327660,32374,0
240029,124820,327660,32382,0
240019,124841,327660,32388,0
239968,124836,327660,32384,0
240023,124811,327660,32390,0
240035,124837,327660,32389,0
239933,124867,327660,32372,0
240188,124797,327660,32403,0
239878,124909,327660,32376,0
239865,124789,327660,32363,0
240014,124778,327660,32372,0
239982,124838,327660,32376,0
240065,124829,327660,32401,0
239984,124868,327660,32381,0
240068,124839,327660,32395,0
240060,124862,327660,32388,0
240085,124853,327660,32401,0
240195,124885,327660,32397,0
240029,124927,327660,32389,0
239965,124842,327660,32367,0
240053,124810,327660,32394,0
240007,124847,327660,32381,0
239982,124834,327660,32379,0
240079,124823,327660,32399,0
239994,124866,327660,32390,0
239995,124818,327660,32392,0
239959,124839,327660,32380,0
239923,124812,327660,32379,0
240059,124803,327660,32393,0
240035,124849,327660,32385,0
239971,124859,327660,32387,0
240031,124819,327660,32397,0
240025,124848,327660,32392,0
239671,124853,327660,32338,0
240001,124693,327660,32379,0
239930,124847,327660,32381,0
239916,124801,327660,32363,0
240032,124790,327660,32389,0
240053,124846,327660,32389,0
240006,124847,327660,32387,0
240077,124839,327660,32387,0
240049,124859,327660,32386,0
240002,124856,327660,32380,0
240017,124827,327660,32396,0
240037,124835,327660,32389,0
239988,124846,327660,32388,0
239973,124840,327660,32394,0
240009,124833,327660,32373,0
240011,124828,327660,32383,0
240013,124832,327660,32389,0
240059,124848,327660,32403,0
240030,124869,327660,32388,0
239947,124844,327660,32382,0
240063,124812,327660,32403,0
240004,124882,327660,32380,0
239902,124852,327660,32365,0
240194,124793,327660,32423,0
240137,124909,327660,32395,0
240053,124892,327660,32393,0
239983,124867,327660,32376,0
240013,124811,327660,32383,0
239709,124844,327660,32346,0
239567,124717,327660,32340,0
240205,124656,327660,32405,0
239944,124942,327660,32389,0
239847,124806,327660,32364,0
239967,124779,327660,32389,0
239966,124840,327660,32376,0
239889,124824,327660,32388,0
240102,124798,327660,32394,0
239871,124885,327660,32378,0
239957,124780,327660,32371,0
239913,124833,327660,32363,0
239979,124809,327660,32391,0
239934,124841,327660,32371,0
240066,124817,327660,32393,0
239895,124871,327660,32375,0
240018,124807,327660,32385,0
239942,124854,327660,32388,0
239932,124814,327660,32379,0
239881,124826,327660,32371,0
240083,124802,327660,32404,0
239933,124881,327660,32378,0
239763,124819,327660,32359,0
239845,124756,327660,32367,0
240013,124771,327660,32389,0
240084,124843,327660,32391,0
239963,124864,327660,32373,0
