S2-value2,S2-value3,S2-value4,S3-value2,S3-value3,S3-value4,S1-value2,S1-value3,S1-value4,Y
41621.0,40982.0,19948.0,7839.0,40982.0,37022.0,68888.0,73766.0,39096.0,0
42247.0,40984.0,19633.0,7808.0,40975.0,37036.0,68260.0,73763.0,39412.0,0
42271.0,40987.0,19620.0,7646.0,40980.0,37117.0,68342.0,73768.0,39374.0,0
42466.0,40984.0,19523.0,7439.0,40978.0,37219.0,68746.0,73772.0,39170.0,0
42214.0,40982.0,19653.0,7492.0,40978.0,37192.0,69264.0,73770.0,38906.0,0
42357.0,40984.0,19579.0,7620.0,40979.0,37130.0,69062.0,73770.0,39010.0,0
42314.0,40983.0,19600.0,10477.0,24584.0,19324.0,68841.0,73768.0,39123.0,0
42257.0,40988.0,19628.0,10621.0,24585.0,19252.0,69225.0,73767.0,38927.0,0
42171.0,40985.0,19673.0,10672.0,24586.0,19225.0,69357.0,73768.0,38865.0,0
42219.0,40989.0,19645.0,10994.0,24587.0,19064.0,69782.0,73770.0,38646.0,0
41610.0,40986.0,19950.0,11160.0,24590.0,18979.0,70403.0,73768.0,38336.0,0
41842.0,40981.0,19835.0,10936.0,24587.0,19095.0,70478.0,73767.0,38297.0,0
42053.0,40987.0,19729.0,11045.0,24587.0,19040.0,69846.0,73769.0,38616.0,0
42390.0,40986.0,19563.0,11109.0,24589.0,19006.0,16845.0,40978.0,32492.0,0
42472.0,40983.0,19519.0,11104.0,24586.0,19008.0,16608.0,40977.0,32613.0,0
42756.0,40984.0,19376.0,11054.0,24588.0,19036.0,16537.0,40982.0,32646.0,0
42515.0,40985.0,19498.0,11072.0,24587.0,19025.0,16467.0,40979.0,32680.0,0
42271.0,40985.0,19625.0,10820.0,24587.0,19152.0,16374.0,40977.0,32729.0,0
42450.0,40983.0,19530.0,10954.0,24585.0,19083.0,16323.0,40980.0,32753.0,0
42543.0,40982.0,19481.0,10590.0,24587.0,19266.0,16273.0,40979.0,32780.0,0
42738.0,40985.0,19388.0,10823.0,24584.0,19149.0,16266.0,40977.0,32783.0,0
42632.0,40981.0,19440.0,10862.0,24587.0,19129.0,16251.0,40981.0,32787.0,0
42993.0,40983.0,19260.0,10831.0,24589.0,19147.0,16296.0,40979.0,32768.0,0
43167.0,40983.0,19170.0,10950.0,24586.0,19086.0,16312.0,40979.0,32758.0,0
43228.0,40985.0,19140.0,10989.0,24587.0,19065.0,16354.0,40977.0,32737.0,0
42877.0,40981.0,19316.0,11023.0,24589.0,19051.0,16551.0,40977.0,32639.0,0
18085.0,40980.0,31822.0,11266.0,24587.0,18924.0,16636.0,40979.0,32598.0,0
17811.0,40980.0,31961.0,11527.0,24589.0,18797.0,16656.0,40980.0,32586.0,0
17718.0,40981.0,32011.0,11357.0,24586.0,18882.0,16650.0,40978.0,32592.0,0
17618.0,40979.0,32060.0,11524.0,24588.0,18800.0,16647.0,40977.0,32589.0,0
17508.0,40977.0,32116.0,11466.0,24588.0,18827.0,16684.0,40979.0,32572.0,0
17460.0,40979.0,32139.0,11189.0,24589.0,18966.0,16732.0,40980.0,32546.0,0
17404.0,40978.0,32169.0,10753.0,24590.0,19185.0,16729.0,40977.0,32547.0,0
17383.0,40976.0,32176.0,2906.0,40976.0,39489.0,16710.0,40979.0,32558.0,0
17376.0,40977.0,32181.0,2783.0,40980.0,39549.0,16718.0,40976.0,32554.0,0
17417.0,40977.0,32162.0,2769.0,40979.0,39556.0,16741.0,40977.0,32543.0,0
17427.0,40979.0,32156.0,2702.0,40975.0,39590.0,16775.0,40979.0,32526.0,0
17468.0,40982.0,32136.0,2647.0,40977.0,39618.0,16786.0,40978.0,32520.0,0
17667.0,40979.0,32034.0,2632.0,40979.0,39623.0,16795.0,40979.0,32517.0,0
17743.0,40980.0,31995.0,2614.0,40975.0,39635.0,16812.0,40978.0,32505.0,0
17754.0,40980.0,31991.0,2597.0,40976.0,39644.0,16814.0,40982.0,32504.0,0
17745.0,40982.0,31998.0,2598.0,40977.0,39642.0,16783.0,40977.0,32521.0,0
17738.0,40981.0,31998.0,2624.0,40978.0,39629.0,41460.0,40989.0,20123.0,0
17779.0,40978.0,31978.0,2622.0,40978.0,39632.0,41324.0,40984.0,20195.0,0
17826.0,40981.0,31955.0,2663.0,40978.0,39609.0,41084.0,40986.0,20318.0,0
17806.0,40978.0,31966.0,2826.0,40978.0,39528.0,40953.0,40987.0,20385.0,0
17792.0,40978.0,31972.0,2866.0,40977.0,39507.0,40852.0,40988.0,20436.0,0
17782.0,40980.0,31976.0,2869.0,40976.0,39506.0,40697.0,40988.0,20514.0,0
17819.0,40978.0,31958.0,2854.0,40978.0,39512.0,40565.0,40983.0,20580.0,0
17847.0,40977.0,31945.0,2841.0,40980.0,39520.0,40465.0,40987.0,20631.0,0
17866.0,40979.0,31934.0,2873.0,40975.0,39506.0,40306.0,40985.0,20712.0,0
17872.0,40978.0,31932.0,2922.0,40977.0,39481.0,40239.0,40984.0,20747.0,0
17888.0,40979.0,31924.0,2891.0,40978.0,39495.0,40233.0,40985.0,20748.0,0
17887.0,40981.0,31924.0,2855.0,40979.0,39515.0,40193.0,40987.0,20770.0,0
17852.0,40981.0,31941.0,2833.0,40977.0,39525.0,39692.0,40987.0,21020.0,0
46741.0,40985.0,17385.0,2878.0,40979.0,39504.0,40083.0,40986.0,20824.0,0
46490.0,40987.0,17512.0,2867.0,40977.0,39507.0,40544.0,40988.0,20590.0,0
46271.0,40986.0,17618.0,2872.0,40976.0,39506.0,40740.0,40987.0,20492.0,0
46146.0,40987.0,17681.0,2880.0,40979.0,39502.0,40798.0,40982.0,20465.0,0
46039.0,40986.0,17735.0,2895.0,40979.0,39494.0,40745.0,40985.0,20490.0,0
45892.0,40987.0,17811.0,2931.0,40977.0,39476.0,40798.0,40987.0,20465.0,0
45760.0,40986.0,17875.0,2917.0,40975.0,39482.0,40855.0,40988.0,20435.0,0
45649.0,40985.0,17931.0,12344.0,40978.0,34768.0,40929.0,40982.0,20399.0,0
45498.0,40991.0,18005.0,12257.0,40980.0,34811.0,40919.0,40988.0,20403.0,0
45445.0,40988.0,18031.0,12184.0,40982.0,34846.0,40936.0,40984.0,20395.0,0
45431.0,40987.0,18041.0,12164.0,40979.0,34857.0,40954.0,40986.0,20386.0,0
45434.0,40987.0,18035.0,12143.0,40980.0,34868.0,40975.0,40983.0,20375.0,0
45168.0,40986.0,18170.0,12084.0,40977.0,34897.0,41010.0,40986.0,20358.0,0
45649.0,40984.0,17928.0,12036.0,40981.0,34921.0,40935.0,40983.0,20394.0,0
46082.0,40991.0,17713.0,11992.0,40981.0,34940.0,40738.0,73762.0,53254.0,0
46240.0,40986.0,17636.0,11919.0,40978.0,34979.0,40702.0,73760.0,53271.0,0
46286.0,40988.0,17612.0,11890.0,40978.0,34993.0,40358.0,73761.0,53449.0,0
46222.0,40983.0,17642.0,11875.0,40983.0,35000.0,40517.0,73765.0,53368.0,0
46265.0,40985.0,17623.0,11786.0,40979.0,35046.0,40205.0,73757.0,53521.0,0
46309.0,40986.0,17601.0,11225.0,40978.0,35325.0,40925.0,73762.0,53157.0,0
46361.0,40984.0,17580.0,11291.0,40979.0,35293.0,42090.0,73759.0,52571.0,0
46340.0,40988.0,17586.0,11508.0,40980.0,35184.0,42194.0,73761.0,52523.0,0
46351.0,40988.0,17580.0,11616.0,40978.0,35131.0,41943.0,73764.0,52649.0,0
46363.0,40987.0,17575.0,11637.0,40981.0,35124.0,41732.0,73764.0,52753.0,0
46390.0,40988.0,17562.0,11602.0,40978.0,35138.0,41518.0,73767.0,52859.0,0
46401.0,40986.0,17557.0,11618.0,40981.0,35130.0,40967.0,73768.0,53137.0,0
46336.0,40982.0,17587.0,11638.0,40984.0,35121.0,40680.0,73761.0,53276.0,0
25472.0,40981.0,28094.0,6363.0,24585.0,21381.0,41703.0,73764.0,52758.0,1
25549.0,40981.0,28052.0,6525.0,24586.0,21303.0,41973.0,73766.0,52633.0,1
25749.0,40980.0,27953.0,6495.0,24585.0,21318.0,42184.0,73767.0,52529.0,1
25778.0,40981.0,27935.0,6496.0,24584.0,21316.0,42086.0,73762.0,52578.0,1
25734.0,40982.0,27956.0,6448.0,24585.0,21339.0,41982.0,73763.0,52628.0,1
25680.0,40982.0,27984.0,6381.0,24589.0,21373.0,42002.0,73762.0,52618.0,1
25676.0,40983.0,27986.0,6445.0,24587.0,21340.0,41694.0,73764.0,52773.0,1
25527.0,40980.0,28063.0,6259.0,24589.0,21434.0,41419.0,73762.0,52913.0,1
25354.0,40982.0,28151.0,6216.0,24584.0,21457.0,41520.0,73762.0,52858.0,1
25268.0,40978.0,28192.0,6247.0,24587.0,21439.0,41515.0,73765.0,52863.0,1
25410.0,40979.0,28123.0,6209.0,24587.0,21462.0,41413.0,73755.0,52912.0,1
25354.0,40981.0,28151.0,6266.0,24586.0,21431.0,41222.0,73768.0,53009.0,1
25321.0,40981.0,28167.0,6196.0,24588.0,21466.0,41296.0,73765.0,52973.0,1
25134.0,40981.0,28262.0,6165.0,24588.0,21482.0,41034.0,73765.0,53104.0,1
25146.0,40983.0,28255.0,6253.0,24585.0,21437.0,40707.0,73763.0,53268.0,1
24861.0,40980.0,28400.0,6208.0,24585.0,21460.0,40397.0,73762.0,53427.0,1
24754.0,40982.0,28453.0,6120.0,24585.0,21503.0,40225.0,73758.0,53508.0,1
24551.0,40979.0,28557.0,6023.0,24588.0,21552.0,38879.0,73765.0,54182.0,1
24478.0,40979.0,28594.0,5962.0,24586.0,21582.0,37733.0,73757.0,54759.0,1
23571.0,40984.0,29053.0,6013.0,24586.0,21557.0,70293.0,73774.0,38401.0,1
